Implementación de Controles de Seguridad de la Información (ISO 27001) en Proyecto de Geotermia,,"Esta tabla detalla los controles de seguridad de la información basados en los parámetros de la norma ISO 27001, divididos en tres categorías clave: Controles Organizacionales, Controles de Personas y Controles de Tecnología. Cada control se implementa específicamente en el contexto del proyecto de geotermia utilizando redes neuronales convolucionales (CNN), con el objetivo de garantizar la protección de los datos geoespaciales y la seguridad del modelo. Se describen las acciones a implementar, los responsables y los procedimientos necesarios para cumplir con los requisitos de seguridad de la información.",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Categoría,Control de Seguridad,Descripción del Control,Implementación en el Proyecto de Geotermia (CNN),Responsable,,
Controles Organizacionales,Políticas para la seguridad de la información,"Definir, aprobar, comunicar y revisar políticas de seguridad de la información.","Desarrollar una política de seguridad que abarque la protección de los datos geoespaciales y el modelo CNN, asegurando su confidencialidad, integridad y disponibilidad.",Dirección de Seguridad de la Información,,
,Roles y responsabilidades en seguridad,Definir y asignar roles y responsabilidades para gestionar la seguridad de la información en toda la organización.,"Asignar roles específicos como el responsable de protección de datos geoespaciales, seguridad del modelo CNN, y auditoría de acceso a datos.",Dirección de TI y Seguridad,,
,Segregación de tareas,Separar roles y funciones conflictivas para prevenir el mal uso de la información o el acceso no autorizado.,Asegurar que el procesamiento de datos y el desarrollo del modelo CNN estén divididos entre equipos específicos con acceso restringido a solo lo necesario.,Gestión de TI y Seguridad,,
,Responsabilidades de la dirección,Asegurar que la alta dirección impulse la implementación de las políticas de seguridad de la información.,La dirección debe comprometerse con el cumplimiento de la política de seguridad de la información y garantizar recursos para implementar controles adecuados en el proyecto.,Dirección General,,
Controles de Personas,"Concienciación, educación y formación en seguridad",La organización debe educar y formar al personal sobre las políticas y prácticas de seguridad de la información.,Realizar capacitaciones periódicas sobre seguridad de la información y protección de datos en cuanto al manejo de datos geoespaciales y el uso seguro del modelo CNN.,Recursos Humanos y Seguridad,,
,Términos y condiciones de contratación,Incluir cláusulas de seguridad en los contratos de empleo y proveedores.,"Incluir en los contratos de los empleados y proveedores cláusulas sobre el manejo seguro de datos geoespaciales, el modelo CNN, y la confidencialidad.",Recursos Humanos y Legal,,
,Proceso disciplinario,Definir acciones disciplinarias por incumplimiento de las políticas de seguridad de la información.,"Establecer acciones disciplinarias en caso de violaciones de seguridad, como el acceso no autorizado a datos o la manipulación indebida del modelo CNN.",Recursos Humanos y Seguridad,,
,Acuerdos de confidencialidad o no divulgación,Definir y hacer cumplir acuerdos de confidencialidad para proteger la información sensible.,"Asegurar que todos los empleados, contratistas y proveedores firmen acuerdos de confidencialidad para proteger los datos geoespaciales y el modelo CNN.",Legal y Seguridad de la Información,,
Controles de Tecnología,Control de acceso,Establecer controles de acceso físico y lógico a la información y los activos asociados.,"Implementar RBAC (control de acceso basado en roles) para los datos geoespaciales y el modelo CNN, y utilizar autenticación multifactor (MFA) para usuarios con acceso a datos sensibles.",TI y Seguridad de la Información,,
,Seguridad en el ciclo de vida del desarrollo,Asegurar que la seguridad se integre a lo largo del ciclo de vida del software.,"Aplicar principios de desarrollo seguro al entrenar y actualizar el modelo CNN, y realizar pruebas de seguridad en cada fase del desarrollo del modelo.",Desarrollo y Seguridad en el Desarrollo,,
,Autenticación segura,Implementar tecnologías y procedimientos de autenticación segura.,"Utilizar autenticación multifactor (MFA) para acceso remoto a los sistemas y bases de datos que almacenan datos geoespaciales, y cifrado de datos en tránsito.",Seguridad de la Información y TI,,
,Gestión de vulnerabilidades técnicas,Identificar y abordar las vulnerabilidades técnicas en los sistemas de información.,Realizar auditorías de seguridad y pruebas de penetración para identificar vulnerabilidades en la infraestructura de TI que aloja el modelo CNN y los datos geoespaciales.,Equipo de Seguridad de TI y Auditoría,,
,Cifrado de la información,Proteger la información sensible mediante el uso de cifrado.,"Asegurar que los datos geoespaciales y el modelo CNN estén cifrados tanto en tránsito como en reposo, utilizando cifrado AES o estándares similares.",TI y Seguridad de la Información,,
,Seguridad de la información en la nube,Asegurar la protección de la información cuando se utilicen servicios en la nube.,"Implementar seguridad de la nube (cifrado, autenticación, control de acceso) para los datos y el modelo almacenados en plataformas como AWS, Azure, o Google Cloud.",Infraestructura en la Nube y Seguridad,,
,Monitoreo de seguridad,Implementar herramientas para la monitorización continua de la seguridad de los sistemas.,Utilizar herramientas de monitoreo de seguridad para detectar comportamientos anómalos y posibles incidentes de seguridad en los servidores que procesan datos geoespaciales y el modelo CNN.,Seguridad de la Información y TI,,
,Respaldo de la información,Mantener copias de seguridad regulares de los datos y sistemas.,Realizar copias de seguridad periódicas de los datos geoespaciales y del modelo entrenado en servidores seguros y plataformas de almacenamiento redundantes.,TI y Gestión de Datos,,
