Implementación de COBIT en el Proyecto de Geotermia con Redes Neuronales (CNN),,"Esta tabla describe la implementación de los procesos clave de COBIT en el proyecto de geotermia utilizando redes neuronales convolucionales (CNN). Cada proceso COBIT se vincula con acciones concretas en el proyecto, desde la creación de un comité de gobierno TI hasta la gestión de seguridad y la recuperación ante desastres. Los objetivos incluyen asegurar que la TI genere valor para los interesados, garantizar que se optimicen los riesgos y que se alineen las estrategias de TI con los objetivos del proyecto. Se incluyen también indicadores clave (KPIs) y entregables que permitirán medir el éxito de la implementación de COBIT en el contexto del proyecto.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Proceso COBIT,Objetivo (Resumen),Acciones Concretas en el Proyecto (Geotermia + CNN),Contribución para dar respuesta a la situación,Indicadores / KPIs Sugeridos,Entregables / Evidencias,Escenario Negativo,Escenario Positivo
EDM01 – Gobierno TI,Definir el marco de gobierno y la toma de decisiones.,"Crear un Comité de Gobierno TI del proyecto; establecer la Matriz RACI, definir políticas y principios, y crear el calendario de revisiones.","Asegura una estructura organizacional clara para la toma de decisiones en el proyecto, asignando responsabilidades claras y realizando revisiones periódicas.",% de decisiones tomadas en comité; nº de políticas aprobadas; cumplimiento de calendario,Acta del comité; Matriz RACI; Política de Gobierno TI,Falta de decisiones claras; demoras en el establecimiento de la estructura de gobierno.,Decisiones bien estructuradas y rápidas; creación de una estrategia clara de gobernanza y procesos de revisión.
EDM02 – Asegurar beneficios,Velar porque TI genere valor para los interesados.,Mapear “cascada de objetivos” ? objetivos de negocio ? objetivos TI ? métricas; priorizar el backlog por valor de las funcionalidades.,"Garantiza que las funcionalidades del proyecto se alineen a los objetivos de negocio, maximizando el valor generado para los interesados.",% de épicas alineadas a objetivo; ROI esperado por épica; lead time de valor,Mapa de metas; backlog priorizado; hoja de ruta (roadmap),Desalineación de TI con los objetivos del proyecto; falta de ROI positivo.,Alineación total entre objetivos de TI y negocio; incremento del valor de negocio a través de métricas claras.
EDM03 – Asegurar riesgo optimizado,Equilibrar los riesgos y el apetito de riesgo.,"Aprobar el apetito de riesgo; integrar matrices ISO 27001, MAGERIT, NIST; definir KRIs (indicadores clave de riesgo).","Establece un balance adecuado de riesgos alineado con el apetito de riesgo aprobado, mejorando la gestión de riesgos en el proyecto.",% riesgos por encima del umbral; tiempo de cierre de riesgos; nº excepciones aprobadas,Declaración de apetito de riesgo; registro de riesgos; reportes trimestrales,Riesgos fuera del umbral; falta de mitigación en riesgos clave.,Riesgos gestionados dentro del umbral aceptable; control efectivo de los riesgos asociados al modelo y datos.
APO02 – Gestionar la estrategia TI,Alinear TI con la estrategia del proyecto.,Definir estrategia de datos y de IA (CNN); casos de uso; arquitectura objetivo y fases del proyecto.,"Asegura que las estrategias tecnológicas estén completamente alineadas con los objetivos del proyecto de geotermia, promoviendo un uso eficiente de recursos.",% hitos cumplidos; % presupuesto ejecutado; desviación del cronograma,Estrategia TI; blueprint de arquitectura; plan anual,Desalineación de la estrategia TI con los objetivos del proyecto.,Estrategia TI completamente alineada con el proyecto de geotermia y modelo CNN.
APO12 – Gestionar riesgos,"Identificar, analizar y tratar riesgos.","Consolidar los riesgos de datos, el modelo CNN y la infraestructura; realizar una evaluación periódica y planes de tratamiento para mitigar riesgos.",Identificación y mitigación de riesgos de seguridad en datos geoespaciales y modelo IA mediante planes de acción adecuados.,% riesgos críticos con plan; frecuencia de reevaluación; riesgo residual promedio,Registro de riesgos; planes de tratamiento; reporte mensual,Falta de planes de tratamiento; riesgos críticos sin seguimiento.,Riesgos tratados adecuadamente; planes de mitigación efectivos para proteger datos y modelos.
APO13 – Gestionar seguridad,Establecer políticas y procesos de seguridad.,"Crear la Política SGSI, implementar controles de acceso RBAC/MFA, cifrado en tránsito/reposo, y DLP (Prevención de pérdida de datos).",Implementación de controles de seguridad adecuados que protejan los datos sensibles y el modelo CNN ante cualquier amenaza externa o interna.,% cuentas con MFA; % datos cifrados; incidentes de seguridad/mes,Política de Seguridad; estándar de cifrado; evidencias de hardening,No implementación de MFA; falta de controles de acceso.,Implementación total de controles de seguridad; alta protección de datos y modelo con autenticación segura.
BAI03 – Identificar y construir soluciones,Asegurar que las soluciones cumplen los requisitos.,"Definir el ciclo de vida del modelo CNN (MLOps); establecer revisiones de diseño, control de datasets y versionado.",Asegurarse de que el modelo CNN se desarrolla de acuerdo con los requisitos técnicos y se mantiene actualizado durante todo su ciclo de vida.,% pipelines con tests; tasa de fallos en despliegue; P95 de entrenamiento,Documentación de diseño; repos Git con versionado; pipeline CI/CD,Desalineación entre los requisitos y el modelo final; errores en el entrenamiento de modelos.,Cumplimiento total de requisitos; modelo robusto y sin errores durante el proceso de desarrollo.
BAI06 – Gestionar cambios,"Controlar cambios en datos, modelos y sistemas.","Crear y gestionar los CRs (Change Requests) para datasets y modelos; definir un proceso para aprobaciones, pruebas y retroceso (rollback).",Minimizar los impactos negativos de cambios mediante pruebas controladas y procedimientos documentados de gestión de cambios.,% cambios con pruebas; cambios urgentes vs planificados; fallos post-cambio,Procedimiento de cambios; bitácora de cambios; actas de aprobación,Cambios no controlados; retrocesos sin pruebas adecuadas.,Cambios controlados y validados; minimización de fallos post-cambio con pruebas adecuadas.
DSS02 – Gestionar solicitudes e incidentes,Restaurar servicio y resolver requerimientos.,Crear una mesa de ayuda; diseñar un catálogo de servicios; establecer SLAs para procesos como autenticación y tiempo de actividad (uptime).,"Mejorar la eficiencia en la resolución de incidentes, asegurando que el servicio de geotermia y el modelo IA estén siempre disponibles.",% cumplimiento SLA; MTTR; nº incidentes repetitivos,Procedimientos de incidentes; tablero de SLAs; informes mensuales,Falta de soporte o demora en la respuesta de incidentes.,Soporte eficiente y cumplimiento de SLAs; tiempo de resolución de incidentes minimizado.
DSS04 – Gestionar continuidad,Continuidad y recuperación del servicio.,Definir los RTO/RPO; implementar DRP (Plan de Recuperación ante Desastres) y BCP (Plan de Continuidad del Negocio); realizar pruebas semestrales y backups verificados.,"Asegurar la recuperación rápida de los datos geoespaciales y el modelo CNN en caso de fallo o desastre, asegurando la continuidad operativa del proyecto.",% pruebas DRP exitosas; edad del último backup verificado; tiempo real de recuperación,DRP/BCP; actas de pruebas; registros de backup/restore,Falta de pruebas de continuidad; riesgo de pérdida total de datos o servicio.,Recuperación exitosa y rápida de los datos geoespaciales y el modelo CNN tras un desastre.
