Implementación del Marco MAGERIT en el Proyecto de Geotermia Utilizando Redes Neuronales (CNN),,,"Esta tabla detalla la implementación de la metodología MAGERIT en el proyecto de geotermia utilizando redes neuronales convolucionales (CNN). Se lleva a cabo un análisis exhaustivo de los activos del proyecto, identificando las amenazas asociadas y evaluando las salvaguardas necesarias. A través de este proceso, se calculan los riesgos intrínsecos y residuales, considerando tanto el valor económico de los activos como las posibles amenazas. Esta metodología ayuda a garantizar la protección de los datos geoespaciales y el modelo de IA, minimizando el impacto de posibles incidentes y asegurando la continuidad operativa del proyecto.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Nº Activos,Tipo de Activo,Activo,Amenaza,Valor Económico del Activo,Frecuencia,Impacto,Riesgo Intrínseco,Salvaguarda,Valor Salvaguarda,Riesgo Residual
1,Datos Geoespaciales,Datos de Zonas Geotérmicas,Acceso no autorizado a datos,Normal: 1.350.000 COP,1 vez cada 3 meses,"Muy alto: 3,5","1,5 * 3,5 = 5,25","Backup de datos, Cifrado de datos, Protección de acceso",Muy alto: 85%,"5,25 - 3,5 = 1,75 (Riesgo Medio-Bajo)"
2,Modelo de IA (CNN),Modelo entrenado para predicción,Modificación no autorizada,Normal: 2.250.000 COP,1 vez cada 2 meses,"Muy alto: 3,5","1,5 * 3,5 = 5,25","Cifrado, Protección de integridad, Control de acceso",Muy alto: 85%,"5,25 - 3,5 = 1,75 (Riesgo Medio-Bajo)"
3,Infraestructura de TI,Rack de servidores,Fallo de servidor o acceso no autorizado,Normal: 4.500.000 COP,1 vez cada 6 meses,"Alto: 3,5","1 * 3,5 = 3,5","Firewall, Backup de datos, Monitoreo constante",Alto: 75%,"3,5 - 2,5 = 1 (Riesgo Bajo)"
4,Firewall y Red,Firewall de red externa e interna,Ataques de denegación de servicio (DDoS),Normal: 4.500.000 COP,1 vez cada 6 meses,Alto: 3,1 * 3 = 3,"Sistema de protección perimetral, Monitoreo de logs",Alto: 60%,3 - 2 = 1 (Riesgo Bajo)
5,Dispositivos de comunicación,"Router, Dispositivos móviles",Interrupción de servicio de red o pérdida de datos,Bajo: 900.000 COP,1 vez cada 6 meses,"Alto: 2,5","1 * 2,5 = 2,5","Protección de red, Conexión segura, Análisis de logs",Normal: 50%,"2,5 - 1,5 = 1 (Riesgo Bajo)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
