Implementación del Marco NIST de Ciberseguridad en el Proyecto de Geotermia,,,"Esta tabla detalla cómo se implementan las funciones y controles del marco de ciberseguridad del National Institute of Standards and Technology (NIST) en el proyecto de identificación de zonas geotérmicas utilizando redes neuronales convolucionales (CNN). Se abordan las cinco funciones clave del NIST CSF: Identificar, Proteger, Detectar, Responder y Recuperar, con acciones específicas y responsables para garantizar la protección de los datos geoespaciales y la seguridad del modelo de IA en el proyecto.",
,,,,
,,,,
,,,,
Función NIST,Control de Seguridad,Descripción,Implementación en el Proyecto de Geotermia (CNN),Responsable
Identificar (Identify),Análisis de riesgos,Realizar un análisis de riesgos para identificar amenazas y vulnerabilidades en la infraestructura.,Identificar riesgos relacionados con el acceso no autorizado a datos geoespaciales y la modificación del modelo CNN.,Equipo de Seguridad de la Información
Identificar (Identify),Inventario de activos,Elaborar y mantener un inventario de todos los activos de información críticos.,"Crear un inventario de **datos geoespaciales**, **modelos entrenados**, y otros activos clave relacionados con el proyecto.",Equipo de Gestión de Datos
Proteger (Protect),Control de acceso,Implementar controles de acceso físico y lógico a los activos de información.,Implementar **RBAC** (control de acceso basado en roles) para proteger **datos geoespaciales** y el **modelo CNN**. Utilizar **autenticación multifactor (MFA)**.,Equipo de TI y Seguridad
Proteger (Protect),Seguridad en el ciclo de vida del desarrollo,Integrar seguridad durante todo el ciclo de vida del desarrollo del software.,"Aplicar **principios de desarrollo seguro** durante el entrenamiento y actualización del modelo CNN, realizando pruebas de seguridad.",Equipo de Desarrollo y Seguridad
Detectar (Detect),Monitoreo de seguridad,Monitorear continuamente los sistemas para detectar actividades sospechosas.,Implementar herramientas de **monitoreo de seguridad** para detectar **comportamientos anómalos** en los servidores donde se procesan los datos geoespaciales.,Equipo de Seguridad de la Información y TI
Detectar (Detect),Detección de intrusos,Detectar y alertar sobre actividades de intrusión o amenazas en la infraestructura de TI.,Implementar **IDS (Intrusion Detection Systems)** para identificar accesos no autorizados a los sistemas que manejan datos geoespaciales y el modelo CNN.,Equipo de Seguridad de TI
Responder (Respond),Plan de respuesta a incidentes,Establecer un plan de respuesta para manejar incidentes de seguridad.,"Desarrollar un **plan de respuesta a incidentes** para manejar brechas de datos o ataques cibernéticos, incluyendo la notificación a usuarios afectados y autoridades como la **SIC**.",Equipo de Gestión de Incidentes
Responder (Respond),Comunicación de incidentes,Establecer canales y procedimientos para comunicar incidentes de seguridad.,Crear un **protocolo de comunicación** para notificar incidentes de seguridad relacionados con los **datos geoespaciales** y el **modelo CNN** tanto a usuarios como a las autoridades.,Equipo de Comunicación y Seguridad
Recuperar (Recover),Plan de recuperación ante desastres (DRP),Establecer un plan de recuperación ante incidentes de seguridad.,Implementar un **plan de recuperación ante desastres (DRP)** que garantice la restauración rápida de **datos geoespaciales** y el **modelo CNN** en caso de un fallo o ataque.,Equipo de Infraestructura y TI
Recuperar (Recover),Respaldo de datos,Realizar copias de seguridad regulares de los datos críticos.,"Realizar **copias de seguridad automáticas** de los **datos geoespaciales** y el **modelo entrenado**, almacenándolos en servidores redundantes o en la nube.",Equipo de TI y Gestión de Datos
